Country_Year,GNI_per_cap,Labor_force,Life_expectancy,Population
Afghanistan_2015,600.0,9176450.0,63.376999999999995,34413603.0
Afghanistan_2016,570.0,9566712.0,63.763000000000005,35383128.0
Afghanistan_2017,560.0,9947922.0,64.13,36296400.0
Afghanistan_2018,550.0,10334090.0,64.486,37172386.0
Angola_2015,4520.0,11437925.0,59.398,27884381.0
Angola_2016,3770.0,11848410.0,59.925,28842484.0
Angola_2017,3450.0,12268842.0,60.379,29816748.0
Angola_2018,3210.0,12705486.0,60.782,30809762.0
Albania_2015,4390.0,1289562.0,78.025,2880703.0
Albania_2016,4320.0,1302836.0,78.194,2876101.0
Albania_2017,4290.0,1316869.0,78.333,2873457.0
Albania_2018,4860.0,1318022.0,78.458,2866376.0
United Arab Emirates_2015,42860.0,6600371.0,77.285,9262900.0
United Arab Emirates_2016,40570.0,6612725.0,77.47,9360980.0
United Arab Emirates_2017,39290.0,6676278.0,77.64699999999999,9487203.0
United Arab Emirates_2018,41470.0,6752973.0,77.814,9630959.0
Argentina_2015,12570.0,19360544.0,76.068,43131966.0
Argentina_2016,12220.0,19696452.0,76.221,43590368.0
Argentina_2017,13120.0,20035267.0,76.372,44044811.0
Argentina_2018,12390.0,20551682.0,76.52,44494502.0
Armenia_2015,4010.0,1334775.0,74.467,2925553.0
Armenia_2016,3760.0,1310061.0,74.64,2936146.0
Armenia_2017,3950.0,1303653.0,74.797,2944809.0
Armenia_2018,4230.0,1303093.0,74.945,2951776.0
Australia_2015,60500.0,12585539.0,82.4,23815995.0
Australia_2016,54140.0,12742247.0,82.44878048780491,24190907.0
Australia_2017,51600.0,12989073.0,82.5,24601860.0
Australia_2018,53250.0,13254463.0,82.74878048780491,24982688.0
Austria_2015,47450.0,4460833.0,81.19024390243901,8642699.0
Austria_2016,46220.0,4537043.0,81.6414634146342,8736668.0
Austria_2017,45150.0,4566743.0,81.64390243902442,8797566.0
Austria_2018,49400.0,4601213.0,81.6926829268293,8840521.0
Azerbaijan_2015,6570.0,4875807.0,72.266,9649341.0
Azerbaijan_2016,4760.0,4969726.0,72.493,9757812.0
Azerbaijan_2017,4090.0,5033862.0,72.693,9854033.0
Azerbaijan_2018,4060.0,5091052.0,72.86399999999999,9939771.0
Burundi_2015,260.0,4350268.0,60.123000000000005,10160030.0
Burundi_2016,270.0,4503184.0,60.528,10487998.0
Burundi_2017,280.0,4660778.0,60.898,10827024.0
Burundi_2018,280.0,4822373.0,61.247,11175378.0
Belgium_2015,45540.0,5000910.0,80.9926829268293,11274196.0
Belgium_2016,43440.0,5005505.0,81.4390243902439,11331422.0
Belgium_2017,42750.0,5037405.0,81.4926829268293,11375158.0
Belgium_2018,45940.0,5089752.0,81.5951219512195,11427054.0
Benin_2015,1180.0,4264772.0,60.608000000000004,10575952.0
Benin_2016,1110.0,4397957.0,60.885,10872067.0
Benin_2017,1090.0,4535767.0,61.174,11175204.0
Benin_2018,1200.0,4678297.0,61.47,11485048.0
Burkina Faso_2015,700.0,6572285.0,59.919,18110624.0
Burkina Faso_2016,660.0,6787426.0,60.354,18646378.0
Burkina Faso_2017,680.0,7009083.0,60.768,19193284.0
Burkina Faso_2018,760.0,7238229.0,61.174,19751535.0
